"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstprl","trstlgl","lrscale","gincdif","imbgeco","brncntr","gndr","eduyrs","hinctnta","iphlppla","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50069,"CH",1,0.8000064,0.54108554,0.4328719,6,5,10,2,5,2,1,9,5,4,0.0004059765,171,1931
"ESS11e02",11,"2.0","20.11.2024",50103,"CH",1,1.3839744,0.54108554,0.74884856,7,8,5,1,6,2,1,13,7,2,0.0004059765,173,2657
"ESS11e02",11,"2.0","20.11.2024",50131,"CH",1,0.95031524,0.54108554,0.5142018,9,7,5,1,5,2,1,16,2,2,0.0004059765,174,1979
"ESS11e02",11,"2.0","20.11.2024",50160,"CH",1,1.1032515,0.54108554,0.5969534,7,7,5,1,5,1,2,10,88,1,0.0004059765,175,2448
"ESS11e02",11,"2.0","20.11.2024",50211,"CH",1,1.0697783,0.54108554,0.57884157,10,9,2,1,3,1,2,15,6,2,0.0004059765,171,2495
"ESS11e02",11,"2.0","20.11.2024",50213,"CH",1,1.0268464,0.54108554,0.5556117,4,4,6,1,7,1,1,12,6,3,0.0004059765,172,2602
"ESS11e02",11,"2.0","20.11.2024",50236,"CH",1,1.0310553,0.54108554,0.55788916,6,7,5,2,7,1,2,11,8,3,0.0004059765,172,1689
"ESS11e02",11,"2.0","20.11.2024",50315,"CH",1,1.0697783,0.54108554,0.57884157,8,8,3,3,5,1,2,9,7,3,0.0004059765,171,1984
"ESS11e02",11,"2.0","20.11.2024",50324,"CH",1,0.9777271,0.54108554,0.529034,5,8,5,3,5,1,2,9,5,2,0.0004059765,174,2419
"ESS11e02",11,"2.0","20.11.2024",50355,"CH",1,1.1539359,0.54108554,0.624378,6,4,5,1,5,1,2,8,4,1,0.0004059765,173,1666
"ESS11e02",11,"2.0","20.11.2024",50367,"CH",1,1.1444328,0.54108554,0.61923605,7,9,7,3,5,1,1,15,7,2,0.0004059765,174,2717
"ESS11e02",11,"2.0","20.11.2024",50375,"CH",1,0.91351867,0.54108554,0.49429175,5,5,5,3,5,1,2,11,4,1,0.0004059765,170,2107
"ESS11e02",11,"2.0","20.11.2024",50415,"CH",1,1.0310553,0.54108554,0.55788916,7,8,6,4,8,1,2,12,88,1,0.0004059765,172,1859
"ESS11e02",11,"2.0","20.11.2024",50433,"CH",1,0.86812145,0.54108554,0.46972796,7,7,6,3,6,2,2,12,10,3,0.0004059765,175,1726
"ESS11e02",11,"2.0","20.11.2024",50443,"CH",1,0.9853092,0.54108554,0.53313655,3,6,2,1,8,1,1,9,4,2,0.0004059765,171,2739
"ESS11e02",11,"2.0","20.11.2024",50445,"CH",1,0.8915458,0.54108554,0.48240253,8,7,5,2,5,1,2,9,1,1,0.0004059765,170,2710
"ESS11e02",11,"2.0","20.11.2024",50475,"CH",1,0.8181816,0.54108554,0.44270623,4,5,88,2,7,1,1,9,77,4,0.0004059765,171,2208
"ESS11e02",11,"2.0","20.11.2024",50476,"CH",1,1.1444328,0.54108554,0.61923605,7,8,7,2,5,1,1,9,3,2,0.0004059765,174,2786
"ESS11e02",11,"2.0","20.11.2024",50517,"CH",1,0.88790655,0.54108554,0.4804334,8,8,3,2,8,2,1,19,7,1,0.0004059765,170,2791
"ESS11e02",11,"2.0","20.11.2024",50526,"CH",1,0.9853092,0.54108554,0.53313655,6,3,5,1,3,1,1,10,3,2,0.0004059765,171,2086
"ESS11e02",11,"2.0","20.11.2024",50634,"CH",1,0.8215351,0.54108554,0.44452077,9,9,88,2,7,1,2,9,5,2,0.0004059765,171,1709
"ESS11e02",11,"2.0","20.11.2024",50637,"CH",1,1.1032515,0.54108554,0.5969534,7,7,3,2,4,1,2,9,1,1,0.0004059765,175,1594
"ESS11e02",11,"2.0","20.11.2024",50724,"CH",1,1.0268464,0.54108554,0.5556117,2,4,8,4,2,1,1,10,7,3,0.0004059765,172,2840
"ESS11e02",11,"2.0","20.11.2024",50732,"CH",1,0.8000064,0.54108554,0.4328719,6,4,8,2,2,1,1,9,8,2,0.0004059765,171,2477
"ESS11e02",11,"2.0","20.11.2024",50735,"CH",1,1.0692768,0.54108554,0.57857025,9,8,88,2,7,1,1,11,88,1,0.0004059765,170,2166
"ESS11e02",11,"2.0","20.11.2024",50742,"CH",1,0.8417825,0.54108554,0.45547634,88,6,5,1,9,2,2,12,8,1,0.0004059765,171,2038
"ESS11e02",11,"2.0","20.11.2024",50749,"CH",1,1.3006833,0.54108554,0.7037809,8,7,88,2,4,2,2,9,1,2,0.0004059765,176,2727
"ESS11e02",11,"2.0","20.11.2024",50750,"CH",1,0.8681827,0.54108554,0.46976113,7,4,5,1,3,1,1,13,77,3,0.0004059765,170,1920
"ESS11e02",11,"2.0","20.11.2024",50903,"CH",1,1.5026201,0.54108554,0.81304604,8,10,4,2,9,1,2,10,77,2,0.0004059765,173,2470
"ESS11e02",11,"2.0","20.11.2024",50910,"CH",1,0.8000064,0.54108554,0.4328719,8,9,5,2,7,1,1,9,4,3,0.0004059765,171,2612
"ESS11e02",11,"2.0","20.11.2024",51028,"CH",1,0.95031524,0.54108554,0.5142018,8,8,6,3,9,1,1,13,9,3,0.0004059765,174,1640
"ESS11e02",11,"2.0","20.11.2024",51054,"CH",1,0.8215351,0.54108554,0.44452077,6,3,6,2,6,1,2,9,5,2,0.0004059765,171,1887
"ESS11e02",11,"2.0","20.11.2024",51059,"CH",1,0.8215351,0.54108554,0.44452077,6,6,7,2,4,1,2,9,5,2,0.0004059765,171,1845
"ESS11e02",11,"2.0","20.11.2024",51096,"CH",1,0.8000064,0.54108554,0.4328719,5,7,2,1,6,1,1,17,6,2,0.0004059765,171,1998
"ESS11e02",11,"2.0","20.11.2024",51128,"CH",1,1.0040357,0.54108554,0.5432692,3,5,7,1,3,1,1,9,2,2,0.0004059765,172,1785
"ESS11e02",11,"2.0","20.11.2024",51146,"CH",1,1.0697783,0.54108554,0.57884157,7,3,0,2,10,1,2,12,9,2,0.0004059765,171,2649
"ESS11e02",11,"2.0","20.11.2024",51181,"CH",1,1.3839744,0.54108554,0.74884856,9,9,7,4,8,2,1,12,7,2,0.0004059765,173,1623
"ESS11e02",11,"2.0","20.11.2024",51231,"CH",1,0.9853092,0.54108554,0.53313655,7,5,8,2,3,1,1,9,7,2,0.0004059765,171,2237
"ESS11e02",11,"2.0","20.11.2024",51253,"CH",1,0.86812145,0.54108554,0.46972796,6,7,7,2,5,1,2,9,3,2,0.0004059765,175,2233
"ESS11e02",11,"2.0","20.11.2024",51262,"CH",1,0.8681827,0.54108554,0.46976113,7,8,5,2,6,2,1,9,7,2,0.0004059765,170,1863
"ESS11e02",11,"2.0","20.11.2024",51285,"CH",1,0.95031524,0.54108554,0.5142018,6,7,7,3,7,1,1,12,6,4,0.0004059765,174,2518
"ESS11e02",11,"2.0","20.11.2024",51318,"CH",1,0.8215351,0.54108554,0.44452077,3,4,77,2,3,1,2,7,4,1,0.0004059765,171,1904
"ESS11e02",11,"2.0","20.11.2024",51345,"CH",1,0.8417825,0.54108554,0.45547634,5,6,2,1,7,1,2,17,4,3,0.0004059765,171,2711
"ESS11e02",11,"2.0","20.11.2024",51429,"CH",1,0.88790655,0.54108554,0.4804334,8,8,7,4,7,2,1,16,9,2,0.0004059765,170,2636
"ESS11e02",11,"2.0","20.11.2024",51432,"CH",1,1.182375,0.54108554,0.639766,4,8,4,2,5,1,2,6,8,2,0.0004059765,173,2769
"ESS11e02",11,"2.0","20.11.2024",51439,"CH",1,0.8181816,0.54108554,0.44270623,10,10,2,1,10,2,1,9,8,2,0.0004059765,171,2828
"ESS11e02",11,"2.0","20.11.2024",51482,"CH",1,0.9853092,0.54108554,0.53313655,88,6,88,2,7,2,1,9,2,88,0.0004059765,171,2822
"ESS11e02",11,"2.0","20.11.2024",51506,"CH",1,1.0161395,0.54108554,0.5498184,6,9,2,1,9,1,1,15,8,1,0.0004059765,175,2210
"ESS11e02",11,"2.0","20.11.2024",51526,"CH",1,0.8472403,0.54108554,0.4584295,5,5,3,1,8,1,2,16,6,66,0.0004059765,175,1475
"ESS11e02",11,"2.0","20.11.2024",51555,"CH",1,1.0692768,0.54108554,0.57857025,8,8,6,3,10,1,1,12,8,2,0.0004059765,170,2406
"ESS11e02",11,"2.0","20.11.2024",51569,"CH",1,0.8915458,0.54108554,0.48240253,5,88,5,1,7,2,2,6,6,1,0.0004059765,170,2076
"ESS11e02",11,"2.0","20.11.2024",51581,"CH",1,1.0564661,0.54108554,0.5716385,0,7,88,2,8,2,2,7,4,5,0.0004059765,172,2699
"ESS11e02",11,"2.0","20.11.2024",51601,"CH",1,1.242544,0.54108554,0.67232263,8,8,7,3,4,1,2,9,10,2,0.0004059765,174,1774
